req_id,status,orig,dest,time_requested,time_picked_up,time_dropped_off,assigned_bus,passenger_count,wait_time_mins
0,waiting,8589154,8577786,0,,,,1,
1,waiting,8588858,8592377,3,,,,1,
2,waiting,8587255,8577820,1,,,,3,
3,waiting,8589154,8587238,8,,,,3,
4,waiting,8589138,8587356,6,,,,1,
5,waiting,8589152,8587255,1,,,,2,
6,in_transit,8587255,8588858,8,7.069999999999936,,0.0,1,-0.9300000000000637
7,waiting,8577741,8587255,8,,,,1,
8,waiting,8587255,8589158,10,,,,2,
9,waiting,8588858,8589147,6,,,,2,
10,waiting,8587255,8589141,9,,,,1,
11,waiting,8589161,8592374,0,,,,1,
12,waiting,8589155,8592374,2,,,,4,
13,waiting,8588858,8589138,5,,,,2,
14,completed,8589161,8577820,3,4.15,8.286666666666747,1.0,1,1.1500000000000004
15,waiting,8589155,8589130,1,,,,3,
16,waiting,8589138,8577741,1,,,,2,
17,waiting,8592374,8577785,5,,,,6,
18,waiting,8589152,8592377,20,,,,1,
19,waiting,8587238,8589141,28,,,,2,
20,waiting,8577786,8577741,21,,,,2,
21,waiting,8589147,8588351,30,,,,1,
22,waiting,8589152,8592378,25,,,,3,
23,waiting,8587356,8588344,21,,,,4,
24,waiting,8591766,8589155,23,,,,1,
